from_module_machine_name,description,quality,version_major,from_version,from_project_machine_name,to_module_machine_name,from_project_reference,title,from_module_reference
xc_index,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_index 6-ok from project xc depends on module xc,Module xc_index 6-ok from project xc
xc_index,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_index 6-ok from project xc depends on module xc_util,Module xc_index 6-ok from project xc
xc_index,NA,ok,6,6.x-1.3,xc,xc_solr,xc,Module xc_index 6-ok from project xc depends on module xc_solr,Module xc_index 6-ok from project xc
xc_index,NA,ok,6,6.x-1.3,xc,xc_ils,xc,Module xc_index 6-ok from project xc depends on module xc_ils,Module xc_index 6-ok from project xc
ncip,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module ncip 6-ok from project xc depends on module xc_util,Module ncip 6-ok from project xc
xc_xissn,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_xissn 6-ok from project xc depends on module xc,Module xc_xissn 6-ok from project xc
xc_xissn,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_xissn 6-ok from project xc depends on module xc_util,Module xc_xissn 6-ok from project xc
xc_search,NA,ok,6,6.x-1.3,xc,search,xc,Module xc_search 6-ok from project xc depends on module search,Module xc_search 6-ok from project xc
xc_search,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_search 6-ok from project xc depends on module xc,Module xc_search 6-ok from project xc
xc_search,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_search 6-ok from project xc depends on module xc_util,Module xc_search 6-ok from project xc
xc_search,NA,ok,6,6.x-1.3,xc,xc_solr,xc,Module xc_search 6-ok from project xc depends on module xc_solr,Module xc_search 6-ok from project xc
xc_search,NA,ok,6,6.x-1.3,xc,xc_ils,xc,Module xc_search 6-ok from project xc depends on module xc_ils,Module xc_search 6-ok from project xc
xc_import_export,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_import_export 6-ok from project xc depends on module xc,Module xc_import_export 6-ok from project xc
xc_import_export,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_import_export 6-ok from project xc depends on module xc_util,Module xc_import_export 6-ok from project xc
xc_import_export,NA,ok,6,6.x-1.3,xc,xc_metadata,xc,Module xc_import_export 6-ok from project xc depends on module xc_metadata,Module xc_import_export 6-ok from project xc
xc_sql,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_sql 6-ok from project xc depends on module xc,Module xc_sql 6-ok from project xc
xc_sql,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_sql 6-ok from project xc depends on module xc_util,Module xc_sql 6-ok from project xc
